"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11"
"1" 1 0 0 0 0 0 0 0 0 0 0
"2" 0 1.7320508 0 0 0 0 0 0 0 0 0
"3" -1.118034 0 3.354102 0 0 0 0 0 0 0 0
"4" 0 -3.968627 0 6.6143783 0 0 0 0 0 0 0
"5" 1.125 0 -11.25 0 13.125 0 0 0 0 0 0
"6" 0 6.2186715 0 -29.020467 0 26.11842 0 0 0 0 0
"7" -1.1267348 0 23.66143 0 -70.984291 0 52.055147 0 0 0 0
"8" 0 -8.4721511 0 76.24936 0 -167.74859 0 103.84437 0 0 0
"9" 1.1274117 0 -40.586821 0 223.22752 0 -386.92769 0 207.28269 0 0
"10" 0 10.726978 0 -157.32901 0 613.58313 0 -876.54733 0 413.92513 0
"11" -1.1277432 0 62.025878 0 -537.55761 0 1612.6728 0 -1958.2456 0 826.8148
