"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16"
"1" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2" 0 1.7320508 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3" -1.118034 0 3.354102 0 0 0 0 0 0 0 0 0 0 0 0 0
"4" 0 -3.968627 0 6.6143783 0 0 0 0 0 0 0 0 0 0 0 0
"5" 1.125 0 -11.25 0 13.125 0 0 0 0 0 0 0 0 0 0 0
"6" 0 6.2186715 0 -29.020467 0 26.11842 0 0 0 0 0 0 0 0 0 0
"7" -1.1267348 0 23.66143 0 -70.984291 0 52.055147 0 0 0 0 0 0 0 0 0
"8" 0 -8.4721511 0 76.24936 0 -167.74859 0 103.84437 0 0 0 0 0 0 0 0
"9" 1.1274117 0 -40.586821 0 223.22752 0 -386.92769 0 207.28269 0 0 0 0 0 0 0
"10" 0 10.726978 0 -157.32901 0 613.58313 0 -876.54733 0 413.92513 0 0 0 0 0 0
"11" -1.1277432 0 62.025878 0 -537.55761 0 1612.6728 0 -1958.2456 0 826.8148 0 0 0 0 0
"12" 0 -12.982466 0 281.28676 0 -1687.7206 0 4098.7499 0 -4326.4582 0 1651.9204 0 0 0 0
"13" 1.1279297 0 -87.978516 0 1099.7314 0 -4985.4492 0 10148.95 0 -9472.3535 0 3300.9717 0 0 0
"14" 0 15.238326 0 -457.14978 0 3885.7731 0 -14062.798 0 24609.896 0 -20582.822 0 6597.0585 0 0
"15" -1.1280448 0 118.4447 0 -2013.5599 0 12752.546 0 -38257.639 0 58661.713 0 -44440.691 0 13185.7 0
"16" 0 -17.494416 0 693.94516 0 -7910.9749 0 39554.874 0 -101084.68 0 137842.74 0 -95429.592 0 26356.744
