"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26"
"1" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2" 0 1.7320508 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3" -1.118034 0 3.354102 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4" 0 -3.968627 0 6.6143783 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5" 1.125 0 -11.25 0 13.125 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6" 0 6.2186715 0 -29.020467 0 26.11842 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7" -1.1267348 0 23.66143 0 -70.984291 0 52.055147 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"8" 0 -8.4721511 0 76.24936 0 -167.74859 0 103.84437 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"9" 1.1274117 0 -40.586821 0 223.22752 0 -386.92769 0 207.28269 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"10" 0 10.726978 0 -157.32901 0 613.58313 0 -876.54733 0 413.92513 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11" -1.1277432 0 62.025878 0 -537.55761 0 1612.6728 0 -1958.2456 0 826.8148 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"12" 0 -12.982466 0 281.28676 0 -1687.7206 0 4098.7499 0 -4326.4582 0 1651.9204 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"13" 1.1279297 0 -87.978516 0 1099.7314 0 -4985.4492 0 10148.95 0 -9472.3535 0 3300.9717 0 0 0 0 0 0 0 0 0 0 0 0 0
"14" 0 15.238326 0 -457.14978 0 3885.7731 0 -14062.798 0 24609.896 0 -20582.822 0 6597.0585 0 0 0 0 0 0 0 0 0 0 0 0
"15" -1.1280448 0 118.4447 0 -2013.5599 0 12752.546 0 -38257.639 0 58661.713 0 -44440.691 0 13185.7 0 0 0 0 0 0 0 0 0 0 0
"16" 0 -17.494416 0 693.94516 0 -7910.9749 0 39554.874 0 -101084.68 0 137842.74 0 -95429.592 0 26356.744 0 0 0 0 0 0 0 0 0 0
"17" 1.1281207 0 -153.42442 0 3400.908 0 -28567.627 0 117331.33 0 -260736.28 0 319994.53 0 -203952.56 0 52687.743 0 0 0 0 0 0 0 0 0
"18" 0 19.750658 0 -1000.7 0 14710.29 0 -96667.619 0 335651.45 0 -659097.4 0 735147.1 0 -434086.86 0 105329.9 0 0 0 0 0 0 0 0
"19" -1.1281735 0 192.91767 0 -5401.6947 0 57978.19 0 -310597.45 0 931792.34 0 -1637695.6 0 1673688.9 0 -920528.92 0 210578.51 0 0 0 0 0 0 0
"20" 0 -22.007005 0 1386.4413 0 -25510.52 0 212587.67 0 -956644.5 0 2522062.8 0 -4009433.1 0 3780322.6 0 -1945754.3 0 421011.17 0 0 0 0 0 0
"21" 1.1282116 0 -236.92444 0 8173.8931 0 -108985.24 0 735650.38 0 -2844514.8 0 6680299.9 0 -9690105.4 0 8478842.2 0 -4100877.9 0 841759.16 0 0 0 0 0
"22" 0 24.263428 0 -1860.1962 0 41854.413 0 -430502.54 0 2427556 0 -8209552.9 0 17366362 0 -23155149 0 18898688 0 -8620454.2 0 1683041.1 0 0 0 0
"23" -1.12824 0 285.44473 0 -11893.53 0 192675.19 0 -1596451.6 0 7698444.4 0 -23095333 0 44414102 0 -54777393 0 41888594 0 -18078235 0 3365212.7 0 0 0
"24" 0 -26.519908 0 2430.9916 0 -65636.773 0 815771.32 0 -5619758 0 23602984 0 -63546494 0 111962870 0 -128428000 0 92378034 0 -37831004 0 6728834.8 0 0
"25" 1.1282618 0 -338.47854 0 16754.688 0 -323923.96 0 3227670.9 0 -18935669 0 70291500 0 -171480360 0 278655590 0 -298689650 0 202794550 0 -79010865 0 13454749 0
"26" 0 28.776432 0 -3107.8546 0 99140.563 0 -1463503.6 0 12073904 0 -61467149 0 204102460 0 -454856900 0 685629890 0 -689639420 0 443339630 0 -164719070 0 26904115
